# g=1.0
# kappa=1.0
# gamma=0.0
# Omega12=0.2
# rabi_b=1.5
# rabi_l=1.0
# detuning_bc=0.0
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,estado_2,estado_3,N_expect,X_expect,P_expect
11.576576576576576,(0.32447898568409717+3.4077151521581556e-15j),(0.15730169543276099-1.3625476498244374e-14j),(0.1573016954327702+8.017895603919558e-15j),(0.3609176234504178+2.4481554950638713e-15j),(7.18604245835146+3.2413087353654383e-15j),(-3.239536169649567+4.799624315948215e-16j),(0.057892225168538+4.075204342951716e-14j)
11.591591591591591,(0.3244920349486967+3.536057450547959e-15j),(0.15728928356657515-1.3229256308318701e-14j),(0.157289283566585+7.525674745293247e-15j),(0.3609293979181898+2.4178544723524684e-15j),(7.186539415717621+3.317826126787537e-15j),(-3.2396970726525542+4.235011740945404e-16j),(0.05786401147922052+4.182453791260572e-14j)
11.606606606606606,(0.324505070060649+3.643416513720492e-15j),(0.1572768796705225-1.2772373054480986e-14j),(0.15727687967053336+7.001677388288841e-15j),(0.3609411705983423+2.379169803139866e-15j),(7.1870336360494145+3.3795553464932763e-15j),(-3.239857330922037+3.668905740977465e-16j),(0.05783580140009718+4.29069740213962e-14j)
11.621621621621621,(0.324518091078321+3.7280670809551666e-15j),(0.157264483738985-1.2254362228875195e-14j),(0.15726448373899687+6.4471769757207796e-15j),(0.36095294144374457+2.332149645563998e-15j),(7.187525141076486+3.425673049800174e-15j),(-3.240016949529339+3.1417821824756387e-16j),(0.05780759500522696+4.406411674206861e-14j)
11.636636636636636,(0.32453109806008007+3.788283891531392e-15j),(0.15725209576634436-1.1674759323645294e-14j),(0.1572520957663575+5.863446950403501e-15j),(0.36096471040726597+2.2768421577627993e-15j),(7.188013952528491+3.455355892025733e-15j),(-3.240175933545785+2.625538497483498e-16j),(0.05777939236866886+4.520781959096694e-14j)
11.651651651651651,(0.32454409106429294+3.8223416847285855e-15j),(0.15723971574698245-1.1033099830935237e-14j),(0.15723971574699716+5.2517607551514414e-15j),(0.3609764774417756+2.213295497874203e-15j),(7.18850009213508+3.467780528487484e-15j),(-3.2403342880426997+2.1409483013813528e-16j),(0.05775119356448188+4.6372440765530664e-14j)
11.666666666666666,(0.32455707014932705+3.828515199826156e-15j),(0.15722734367528113-1.0328919242888994e-14j),(0.15722734367529753+4.613391832779042e-15j),(0.3609882425001426+2.1415578240361493e-15j),(7.188983581625911+3.4621236145029455e-15j),(-3.2404920180914067+1.6795870574153705e-16j),(0.057722998666725006+4.767485556588782e-14j)
11.681681681681681,(0.3245700353735491+3.805079176103519e-15j),(0.15721497954562225-9.561753051650523e-15j),(0.1572149795456405+3.949613626100741e-15j),(0.3610000055352367+2.0616772943865673e-15j),(7.189464442730638+3.4375618053896155e-15j),(-3.2406491287632306+1.2543525627431722e-16j),(0.057694807749457226+4.890027676540546e-14j)
11.696696696696696,(0.32458298679532627+3.750308352840085e-15j),(0.15720262335238763-8.731136749363793e-15j),(0.15720262335240806+3.261699577930978e-15j),(0.36101176649992683+1.973702067063394e-15j),(7.189942697178906+3.393271756465012e-15j),(-3.2408056251294965+8.656291585645745e-17j),(0.057666620886737546+5.0130521817557706e-14j)
11.711711711711711,(0.3245959244730257+3.662477469315266e-15j),(0.15719027508995911-7.836605828172762e-15j),(0.15719027508998193+2.5509231310841898e-15j),(0.3610235253470822+1.8776803002045644e-15j),(7.190418366700378+3.328430123046667e-15j),(-3.240961512261528+5.2265916547420386e-17j),(0.05763843815262495+5.1490992256119673e-14j)
11.726726726726726,(0.32460884846501425+3.5398612648084765e-15j),(0.15717793475271855-6.877695780221391e-15j),(0.15717793475274397+1.8185577283748157e-15j),(0.3610352820295722+1.7736601519480128e-15j),(7.190891473024697+3.242213560452076e-15j),(-3.2411167952306488+2.0739919350876764e-17j),(0.05761025962117843+5.290527300375481e-14j)
