# g=1.0
# kappa=1.0
# gamma=0.5
# rabi_b=None
# rabi_l=1.5
# detuning_bc=None
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.9459459459459459,(0.7387289014510205+0j),(0.2612710985489794+0j),(0.05539149674169802+0j),(0.30383508773903417+0j),2.4286128664125076e-17j
0.960960960960961,(0.7347652952879827+0j),(0.2652347047120173+0j),(0.05813013872606436+0j),(0.31051474403543533+0j),2.3668409984695307e-17j
0.975975975975976,(0.7309166481146527+0j),(0.2690833518853472+0j),(0.060938822116764796+0j),(0.3171689133125437+0j),2.366840998514864e-17j
0.990990990990991,(0.7271851926255662+0j),(0.2728148073744338+0j),(0.06381671640808666+0j),(0.32379507254423645+0j),2.4281727352271677e-17j
1.006006006006006,(0.7235729601882446+0j),(0.27642703981175537+0j),(0.06676290787391659+0j),(0.33039080107416025+0j),2.652307245430702e-17j
1.021021021021021,(0.7200817823248701+0j),(0.2799182176751296+0j),(0.06977640142389935+0j),(0.33695378049516245+0j),-1.8487547246259145e-18j
1.0360360360360361,(0.7167132914113271+0j),(0.2832867085886726+0j),(0.07285612174413782+0j),(0.3434817947378602+0j),2.243737394084873e-17j
1.0510510510510511,(0.7134689233986666+0j),(0.2865310766013333+0j),(0.07600091597026676+0j),(0.3499727294787409+0j),-6.221199912831066e-19j
1.0660660660660661,(0.7103499213036659+0j),(0.289650078696334+0j),(0.07920955687068823+0j),(0.35642457125840454+0j),2.6520138281701697e-17j
1.0810810810810811,(0.7073573376992127+0j),(0.2926426623007873+0j),(0.08248074509834251+0j),(0.3628354068618884+0j),2.7752641435063733e-17j
1.0960960960960962,(0.7044920362287602+0j),(0.2955079637712397+0j),(0.08581311070097859+0j),(0.36920342302003384+0j),2.4280260298958663e-17j
1.1111111111111112,(0.7017546953218978+0j),(0.29824530467810206+0j),(0.0892052161276697+0j),(0.3755269053036161+0j),2.7755575567542692e-17j
